id,qname,heading,text,type,diagram,website,updated
,Nerve,Nerve,A common pathway for the electrochemical nerve impulses that are transmitted along each of the axons.,Class,http://schema.org/diagrams/Nerve.dot.svg,http://schema.org/Nerve,2026-07-24T12:31:48.132193
,OperatingSystem,OperatingSystem,"System software that manages computer hardware and software resources, and provides common services for computer programs.",Class,http://schema.org/diagrams/OperatingSystem.dot.svg,http://schema.org/OperatingSystem,2026-07-24T12:31:48.132193
,CourseInstance,CourseInstance,An instance of a [[Course]] which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.,Class,http://schema.org/diagrams/CourseInstance.dot.svg,http://schema.org/CourseInstance,2026-07-24T12:31:48.132193
,WearableSizeGroupEnumeration,WearableSizeGroupEnumeration,"Enumerates common size groups (also known as ""size types"") for wearable products.",Class,http://schema.org/diagrams/WearableSizeGroupEnumeration.dot.svg,http://schema.org/WearableSizeGroupEnumeration,2026-07-24T12:31:48.132193
,OnlineBusiness,OnlineBusiness,"A particular online business, either standalone or the online part of a broader organization. Examples include an eCommerce site, an online travel booking site, an online learning site, an online logistics and shipping provider, an online (virtual) doctor, etc.",Class,http://schema.org/diagrams/OnlineBusiness.dot.svg,http://schema.org/OnlineBusiness,2026-07-24T12:31:48.132193
,Rating,Rating,"A rating is an evaluation on a numeric scale, such as 1 to 5 stars.",Class,http://schema.org/diagrams/Rating.dot.svg,http://schema.org/Rating,2026-07-24T12:31:48.132193
,PostalAddress,PostalAddress,The mailing address.,Class,http://schema.org/diagrams/PostalAddress.dot.svg,http://schema.org/PostalAddress,2026-07-24T12:31:48.132193
,BikeStore,BikeStore,A bike store.,Class,http://schema.org/diagrams/BikeStore.dot.svg,http://schema.org/BikeStore,2026-07-24T12:31:48.132193
,InfectiousDisease,InfectiousDisease,"An infectious disease is a clinically evident human disease resulting from the presence of pathogenic microbial agents, like pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and prions. To be considered an infectious disease, such pathogens are known to be able to cause this disease.",Class,http://schema.org/diagrams/InfectiousDisease.dot.svg,http://schema.org/InfectiousDisease,2026-07-24T12:31:48.132193
,MedicalSymptom,MedicalSymptom,"Any complaint sensed and expressed by the patient (therefore defined as subjective)  like stomachache, lower-back pain, or fatigue.",Class,http://schema.org/diagrams/MedicalSymptom.dot.svg,http://schema.org/MedicalSymptom,2026-07-24T12:31:48.132193
